Term,BioGPT_Definition
Atypical,a rare form of the disease.
Abduction,a common clinical presentation of the acute abdomen.
Abdominocentesis,a safe and effective procedure for the diagnosis of ascites in patients with cirrhosis.
Cardiac,the most common site of metastasis.
Acouesthesia,a common complaint in patients with chronic pain.
Adduction,a common complication of the use of intravenous (IV) corticosteroids in patients with inflammatory bowel disease.
Myalgia,a common complaint in the general population.
Oligohydramnios,a common finding in pregnancies complicated by fetal growth restriction (FGR).
Anoxia,a common cause of death in the neonatal period.
Lymphangitis,a rare complication of chronic venous insufficiency.
Antepartum,a period of increased risk for preterm birth.
Antipsychotic,a common treatment for schizophrenia.
Aortography,the gold standard for diagnosis of aortic dissection.
Plasmapheresis,a therapeutic option for the treatment of severe acute pancreatitis.
Appendicular,the most common site of appendicectomy in children.
Coronary,a common cause of death in patients with diabetes mellitus.
Myasthenia gravis,an autoimmune disease characterized by fluctuating weakness of the extraocular muscles.
Artroscope,a new device for the diagnosis of esophageal diseases.
Audiology,a specialty that deals with the hearing of people.
Auricular Cartilage,a promising source of autologous cartilage for auricular reconstruction.
Axillary Lymph Node,the most common site of metastasis in breast cancer.
Barotrauma,a common complication of cardiac surgery.
Biceps,the most common tendon involved in rotator cuff tears.
Myeloblast,the most common cell type in acute myeloid leukemia (AML).
Blepharoplasty,a common aesthetic surgery performed by plastic surgeons.
Brachial Artery,a common site of arterial injury in patients with diabetes mellitus.
Bradycardia,a common complication of the use of intravenous (IV) magnesium sulfate.
Bronchospasm,a common complication of asthma.
Bronchiolitis,a common cause of hospitalization in infants.
Calcification,a common finding in the aorta and its branches.
Cancerous,a type of cancer that has the ability to invade and metastasize.
Adenocarcinoma,the most common type of lung cancer.
Myocarditis,a rare but potentially fatal complication of acute viral myocarditis.
Radiocarpal,the most common site of involvement.
Celiac Artery,a rare but important source of gastrointestinal bleeding.
Thoracentesis,a safe procedure that can be performed in the outpatient setting.
Cerebroside,a major component of the brain and cerebrospinal fluid (CSF).
Cheiloplasty,a common procedure in cleft palate repair.
