Term,Retrieved_Context,BioGPT_RAG_Definition
Atypical,Atypical,not a diagnosis of exclusion?
Abduction,Abduction,"a common cause of shoulder pain in the elderly and can be caused by several conditions, including rotator cuff tears or instability."
Abdominocentesis,Abdominocentesis,"a simple, safe and effective method for the diagnosis of ascites in dogs with liver disease."
Cardiac,Cardiac,"the heart of a man, and cardiac disease as an illness in men."
Acouesthesia,Acouesthesia,a new concept in the treatment of chronic pain syndromes.
Adduction,Adduction,a new concept in the treatment of osteoarthritis (OA) and rheumatoid arthritis (RA).
Myalgia,Myalgia,a common complaint in the elderly.
Oligohydramnios,Oligohydramnios,"a rare complication of pregnancy and can be associated with significant maternal morbidity, fetal mortality, and neonatal complications including respiratory distress syndrome (RDS), intraventricular hemorrhage (IVH), necrotizing enterocolitis (NEC), sepsis, and death."
Anoxia,Anoxia,a medical emergency in the newborn infant and child.
Lymphangitis,Lymphangitis,"a rare disease of the lymphatic system, which can be caused by various diseases and conditions such as filariasis, leprosy, tuberculosis (TB), HIV infection or other infections."
Antepartum,Antepartum,a new concept in obstetrics and gynecology?
Antipsychotic,Antipsychotic,a drug of choice for schizophrenia?
Aortography,Aortography,the gold standard for diagnosis of abdominal aortic aneurysm (AAA) and dissection.
Plasmapheresis,Plasmapheresis,a therapeutic option in the treatment of Guillain-Barré syndrome and chronic inflammatory demyelinating polyneuropathy.
Appendicular,Appendicular,a new concept in the diagnosis of appendicitis? A prospective study on 100 patients with suspected acute appendicitis.
Coronary,Coronary,"the most frequent cause of death in patients with diabetes mellitus (DM) and hypertension, but it has been reported that coronary artery disease (CAD) was not a major contributor to mortality among diabetic hypertensive subjects without known heart failure or myocardial infarction."
Myasthenia gravis,Myasthenia gravis,"a rare disease with an autoimmune pathogenesis, but it can be associated to other diseases such as cancer and auto-immune disorders."
Artroscope,Artroscope,a new device for the diagnosis of upper gastrointestinal tract diseases.
Audiology,Audiology,"a medical specialty, and the profession has been in existence for over 100 years."
Auricular Cartilage,Auricular Cartilage,"a new treatment for auricular deformity and its use in the correction of congenital ear deformities has been described by several authors, but there are no reports on the use of this technique to correct congenital ear malformations."
Axillary Lymph Node,Axillary Lymph Node,the Key to Breast Cancer Treatment and Prognosis?
Barotrauma,Barotrauma,"a common cause of death in the elderly and may be associated with significant morbidity, including syncope or sudden cardiac arrest (SCA)."
Biceps,Biceps,"a common cause of shoulder pain in athletes and can be treated with conservative measures, such as stretching exercises or strengthening the rotator cuff muscles."
Myeloblast,Myeloblast,a new cell type in the human hematopoietic system.
Blepharoplasty,Blepharoplasty,"a surgical procedure that can be performed in any age group, from newborn to the elderly patient."
Brachial Artery,Brachial Artery,"a Vascular Structure and Function Index for the Assessment of Arterial Stiffness in Healthy Subjects, Patients with Diabetes Mellitus Type 2 or Chronic Kidney Disease (CKD)."
Bradycardia,Bradycardia,"a common clinical problem in the elderly and may be associated with significant morbidity, mortality, and cost to society."
Bronchospasm,Bronchospasm,"a common symptom in children with asthma and can be associated with significant morbidity, including increased risk of hospitalization for acute exacerbation (AE) or death from respiratory failure."
Bronchiolitis,Bronchiolitis,"a common disease in infants and children, but its diagnosis can be difficult because of the wide range of clinical presentations that may occur during infancy or childhood."
Calcification,Calcification,"a common finding in the heart of patients with chronic renal failure and dialysis, but its prevalence has not been well studied."
Cancerous,Cancerous,"a disease of the human body, and its treatment by means of chemotherapy has been known for centuries in China."
Adenocarcinoma,Adenocarcinoma,a rare but important differential diagnosis of pulmonary nodules in patients with HIV infection and AIDS.
Myocarditis,Myocarditis,"a disease of the heart muscle, but it can also be caused by other diseases such as viral infections or autoimmune disorders."
Radiocarpal,Radiocarpal,a new concept in the treatment of carpal tunnel syndrome (author's transl)
Celiac Artery,Celiac Artery,"the most common visceral artery anomaly, and it has been reported to be associated with various diseases such as celiac stenosis or occlusion, abdominal aortic aneurysm (AAA), mesenteric ischemia, pancreatitis, and pancreatic cancer."
Thoracentesis,Thoracentesis,a diagnostic and therapeutic procedure in pleural diseases.
Cerebroside,Cerebroside,a new drug for the treatment of Alzheimer's disease and other dementias.
Cheiloplasty,Cheiloplasty,"a surgical procedure for the correction of cleft lip and palate in children with unilateral complete clefts of the lip, alveolus or both (UCLA)."
Cholesterol,Cholesterol,a risk factor for atherosclerosis and coronary heart disease (author's transl)
Chromogen,Chromogen,"a chromogen for the detection of DNA in situ hybridization (ISH) and immunohistochemistry (IHC), which can be used to detect nucleic acids or proteins by means of fluorescence microscopy or electron microscope."
Colorectal,Colorectal,"the most frequent cancer in women and men, but it has a low incidence rate (1-2%)."
Coniophage,Coniophage,"a new genus of phage-like particles in the family Siphoviridae, order Caudovirales."
Corometer,Corometer,"a new name for the genus Cororchium (Asteraceae), and its type species C."
