Term,GPT2_Large_Output
Atypical,"Atypical is a term used to describe a person who is different from the rest of the population. Atypical people are often referred to as ""atypical"" or ""atypical.""
Atypical people are often referred to as ""atypical"" or ""atypical."" Atypical people are often referred to as ""atypical"" or ""atyp"
Abduction,"Abduction is the act of taking a person from another country and holding them against their will for a period of time. It can be done in many different ways, but the most common way is to abduct a person from their home country and hold them against their will for a period of time.
Abduction can be done in many different ways, but the most common way is to abduct a person"
Abdominocentesis,"Abdominocentesis is a medical procedure in which a small sample of tissue is removed from the abdomen and examined under a microscope to determine the presence or absence of certain types of cancer.
Abdominocentesis is used to determine the presence or absence of certain types of cancer.
Abdominocentesis is a medical procedure in which a small sample of tissue is removed from the abdomen"
Cardiac,"Cardiac is an acronym for Cardiac Arrest, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resuscitation, Cardiac Arrest with Resusc"
Acouesthesia,Acouesthesia is the use of an electric current to induce a state of unconsciousness. Acoustics is the study of sound. Acoustics is the study of sound. Acoustics is the study of sound. Acoustics is the study of sound. Acoustics is the study of sound. Acoustics is the study of sound. Acoustics is the study of sound
Adduction,"Adduction is the movement of the body from one position to another.
Adduction is the movement of the body from one position to another.
Adduction is the movement of the body from one position to another.
Adduction is the movement of the body from one position to another.
Adduction is the movement of the body from one position to another.
Adduction is the movement"
Myalgia,"Myalgia is a term used to describe a condition in which a person has a strong emotional reaction to a particular event or situation. For example, a person may have a strong emotional reaction to the death of a loved one, or the death of a loved one's child. Myalgia can also be a symptom of other conditions, such as post-traumatic stress disorder (PTSD), depression,"
Oligohydramnios,"Oligohydramnios is the Greek word for ""water"" or ""watery liquid."" It is used to describe any liquid that has a pH of less than 7.0.
Oligohydramnios is also used to describe any liquid that has a pH of more than 7.0.
Oligohydramnios is also used to describe any liquid that has a"
Anoxia,"Anoxia is the lack of oxygen in the blood.
Anoxia can be caused by a number of things, including:
1. Hypoxia

Hypoxia is the lack of oxygen in the blood.

Hypoxia can be caused by a number of things, including:

2. Cardiac arrest

Cardiac arrest is when the heart stops"
Lymphangitis,"Lymphangitis is an inflammation of the lymphatic system. The lymphatic system is a network of blood vessels that carry lymph from the lungs to the rest of the body. Lymphangitis can be caused by a number of conditions, including:

Chronic obstructive pulmonary disease (COPD)

Chronic obstructive pulmonary disease (COPD) Chronic bronch"
